t,orangeLx,orangeLy,orangeRx,orangeRy,bluex,bluey,pinkx,pinky
0.0,810,114,1293,115,922,913,1194,911
0.03333333333333333,810,115,1293,116,923,913,1194,910
0.06666666666666667,809,115,1292,115,922,913,1194,911
0.1,809,115,1292,116,922,913,1196,911
0.13333333333333333,810,115,1292,116,921,913,1199,911
0.16666666666666666,809,115,1292,116,917,914,1202,912
0.2,808,115,1291,116,914,914,1206,912
0.23333333333333334,809,114,1292,115,911,914,1212,912
0.26666666666666666,810,115,1292,115,905,915,1218,913
0.3,810,115,1292,115,900,916,1224,913
0.3333333333333333,810,114,1292,115,894,916,1231,914
0.36666666666666664,812,115,1293,115,886,917,1239,914
0.4,811,115,1292,115,878,918,1247,914
0.43333333333333335,809,114,1292,115,870,918,1256,915
0.4666666666666667,809,114,1292,115,861,919,1265,916
0.5,809,114,1292,116,852,920,1274,916
0.5333333333333333,809,114,1291,116,843,921,1283,916
0.5666666666666667,809,114,1291,116,833,921,1293,916
0.6,809,114,1291,116,823,921,1302,916
0.6333333333333333,809,114,1292,116,814,921,1312,916
0.6666666666666666,809,114,1292,116,804,921,1321,915
0.7,809,114,1292,116,794,921,1331,915
0.7333333333333333,809,114,1292,116,785,921,1339,914
0.7666666666666667,809,114,1292,116,775,921,1348,914
0.8,809,114,1292,116,766,920,1356,913
0.8333333333333334,809,114,1292,116,757,920,1364,912
0.8666666666666667,809,115,1291,116,750,919,1370,912
0.9,809,115,1291,116,742,919,1377,911
0.9333333333333333,809,115,1291,116,735,918,1383,910
0.9666666666666667,809,115,1291,116,728,918,1388,910
1.0,809,115,1291,116,723,917,1392,909
1.0333333333333334,808,115,1291,116,718,917,1395,909
1.0666666666666667,809,115,1291,116,714,916,1398,909
1.1,808,115,1291,116,711,916,1399,908
1.1333333333333333,808,115,1291,116,708,916,1400,908
1.1666666666666667,809,115,1291,116,707,916,1400,908
1.2,808,115,1291,116,706,916,1399,909
1.2333333333333334,808,115,1291,116,707,916,1398,909
1.2666666666666666,808,115,1291,116,709,916,1395,909
1.3,808,115,1290,116,711,916,1392,909
1.3333333333333333,808,115,1290,116,714,917,1388,910
1.3666666666666667,808,115,1291,116,718,917,1382,911
1.4,808,115,1290,116,723,918,1377,911
1.4333333333333333,808,115,1290,116,729,918,1371,912
1.4666666666666666,808,115,1290,116,735,919,1364,913
1.5,808,115,1290,116,742,920,1356,914
1.5333333333333334,808,115,1290,116,749,920,1348,914
1.5666666666666667,808,115,1290,116,758,921,1339,915
1.6,808,115,1290,116,766,921,1330,915
1.6333333333333333,808,115,1290,116,775,921,1321,916
1.6666666666666667,808,115,1290,116,785,921,1312,916
1.7,808,115,1291,116,795,922,1302,916
1.7333333333333334,808,115,1290,116,804,922,1293,917
1.7666666666666666,808,115,1290,116,814,922,1283,917
1.8,808,115,1291,116,824,921,1274,916
1.8333333333333333,808,115,1290,116,833,921,1264,916
1.8666666666666667,808,115,1290,116,843,921,1255,916
1.9,808,115,1290,116,852,920,1247,916
1.9333333333333333,808,115,1290,116,861,920,1238,915
1.9666666666666666,808,115,1290,116,870,919,1231,915
2.0,809,116,1290,116,878,919,1223,914
2.033333333333333,808,115,1290,116,886,918,1217,914
2.066666666666667,808,115,1290,116,893,917,1211,913
2.1,808,115,1290,116,899,916,1206,913
2.1333333333333333,808,115,1291,116,904,916,1201,912
2.1666666666666665,808,115,1290,116,909,915,1198,912
2.2,808,115,1290,116,913,915,1195,911
2.2333333333333334,808,115,1290,116,917,914,1193,911
2.2666666666666666,808,115,1290,116,919,914,1191,911
2.3,808,115,1290,116,920,914,1191,911
2.3333333333333335,808,115,1291,116,921,914,1192,911
2.3666666666666667,808,115,1290,116,920,914,1193,911
2.4,808,115,1290,116,919,914,1196,911
2.433333333333333,808,115,1290,116,917,914,1199,912
2.466666666666667,808,115,1290,116,914,915,1203,912
2.5,807,115,1290,116,910,915,1208,913
2.533333333333333,808,115,1290,116,906,916,1213,913
2.566666666666667,808,115,1290,116,900,916,1219,914
2.6,808,115,1290,116,894,917,1226,914
2.6333333333333333,808,115,1290,116,887,918,1234,915
2.6666666666666665,808,115,1290,116,880,918,1241,916
2.7,808,115,1290,116,872,919,1250,916
2.7333333333333334,808,115,1290,116,864,920,1259,916
2.7666666666666666,808,115,1291,116,854,920,1268,916
2.8,808,115,1290,116,845,921,1277,917
2.8333333333333335,809,116,1290,116,835,921,1287,917
2.8666666666666667,808,115,1290,116,826,922,1297,917
2.9,808,115,1290,116,816,922,1306,916
2.933333333333333,808,115,1290,116,807,922,1316,916
2.966666666666667,808,115,1290,116,797,922,1325,916
3.0,808,115,1290,116,787,922,1334,915
3.033333333333333,808,115,1291,117,777,921,1343,914
3.066666666666667,808,115,1290,116,768,921,1351,914
3.1,808,115,1291,116,760,921,1359,913
3.1333333333333333,808,115,1290,116,751,920,1366,912
3.1666666666666665,808,115,1290,116,744,920,1373,912
3.2,808,115,1290,116,737,919,1379,911
3.2333333333333334,808,115,1290,116,730,918,1384,910
3.2666666666666666,808,115,1290,116,724,918,1389,910
3.3,808,115,1291,116,720,917,1393,909
3.3333333333333335,808,115,1291,116,715,917,1396,909
3.3666666666666667,808,115,1291,116,712,917,1398,908
3.4,808,115,1291,116,710,916,1400,908
3.433333333333333,808,115,1290,116,707,916,1400,908
3.466666666666667,808,115,1290,117,707,916,1400,909
3.5,808,115,1290,116,707,916,1398,908
3.533333333333333,808,115,1290,116,708,916,1396,909
3.566666666666667,808,115,1290,117,710,916,1393,909
3.6,808,115,1290,116,713,917,1390,910
3.6333333333333333,808,115,1291,116,717,917,1385,910
3.6666666666666665,808,115,1290,116,721,918,1380,911
3.7,808,115,1290,116,727,918,1374,912
3.7333333333333334,808,115,1290,116,733,919,1367,912
3.7666666666666666,808,115,1291,116,739,919,1359,913
3.8,808,115,1290,117,746,920,1352,914
3.8333333333333335,808,115,1290,116,755,920,1344,914
3.8666666666666667,808,115,1291,116,763,921,1335,915
3.9,808,115,1290,116,772,921,1325,916
3.933333333333333,808,115,1290,116,781,922,1316,916
3.966666666666667,808,115,1290,116,790,922,1307,916
4.0,808,115,1290,116,800,922,1297,917
4.033333333333333,808,115,1290,116,810,922,1288,917
4.066666666666666,808,115,1290,116,820,922,1278,917
4.1,808,115,1290,116,829,921,1269,916
4.133333333333334,808,115,1290,116,839,921,1260,916
4.166666666666667,808,115,1290,116,849,921,1251,916
4.2,808,115,1290,116,857,920,1242,915
4.233333333333333,808,115,1290,116,866,920,1234,915
4.266666666666667,808,115,1290,116,875,919,1227,914
4.3,808,115,1290,116,882,918,1220,914
4.333333333333333,808,115,1290,116,890,917,1214,913
4.366666666666666,808,115,1290,116,896,917,1208,913
4.4,808,115,1290,116,902,916,1203,912
4.433333333333334,808,115,1290,116,907,915,1199,912
4.466666666666667,808,115,1290,116,911,915,1196,911
4.5,808,115,1290,116,915,915,1193,911
4.533333333333333,808,115,1290,116,917,914,1192,911
4.566666666666666,808,115,1290,116,919,914,1191,911
4.6,808,115,1290,116,920,914,1191,911
4.633333333333334,808,115,1290,116,920,914,1192,911
4.666666666666667,808,115,1290,116,919,914,1194,911
4.7,808,115,1290,116,917,914,1197,912
4.733333333333333,808,115,1290,116,915,915,1201,912
4.766666666666667,808,115,1290,116,911,915,1205,913
4.8,808,115,1290,116,907,915,1210,913
4.833333333333333,808,115,1290,116,902,916,1216,914
4.866666666666666,808,115,1290,116,896,917,1223,914
4.9,808,115,1290,116,890,917,1230,915
4.933333333333334,808,115,1290,116,882,918,1238,915
4.966666666666667,808,115,1290,116,875,919,1246,916
5.0,808,115,1290,116,867,920,1254,916
5.033333333333333,809,116,1290,116,858,920,1263,916
5.066666666666666,808,115,1290,116,849,921,1273,917
5.1,808,115,1290,116,840,921,1282,917
5.133333333333334,808,115,1290,116,830,921,1291,917
5.166666666666667,808,115,1290,116,820,922,1301,916
5.2,808,115,1290,116,810,922,1311,916
5.233333333333333,808,115,1290,116,801,922,1320,916
5.266666666666667,808,115,1290,116,791,922,1329,915
5.3,808,115,1290,116,781,921,1338,915
5.333333333333333,808,115,1290,117,772,921,1347,914
5.366666666666666,808,115,1290,116,763,921,1355,914
5.4,808,115,1290,117,756,920,1363,913
5.433333333333334,808,115,1290,117,747,920,1370,912
5.466666666666667,808,115,1290,116,740,919,1376,911
5.5,808,115,1290,117,733,919,1381,911
5.533333333333333,808,115,1290,116,727,918,1387,910
5.566666666666666,808,115,1290,116,722,918,1391,910
5.6,808,115,1290,117,717,917,1394,909
5.633333333333334,808,115,1290,116,714,917,1397,909
5.666666666666667,808,115,1291,116,711,916,1399,908
5.7,808,115,1291,116,709,916,1400,909
5.733333333333333,808,115,1291,116,707,916,1399,908
5.766666666666667,808,115,1291,116,707,916,1399,909
5.8,808,115,1290,117,708,916,1397,909
5.833333333333333,808,115,1290,116,710,916,1395,909
5.866666666666666,808,115,1291,116,712,916,1391,910
5.9,808,115,1290,117,716,917,1387,910
5.933333333333334,808,115,1291,116,720,917,1382,911
5.966666666666667,808,115,1290,116,724,918,1377,911
6.0,808,115,1290,116,730,918,1370,912
6.033333333333333,807,115,1290,116,736,919,1363,913
6.066666666666666,808,115,1290,116,744,920,1355,914
6.1,808,115,1290,116,751,920,1348,914
6.133333333333334,808,115,1290,117,759,921,1339,915
6.166666666666667,808,115,1290,116,768,921,1330,916
6.2,808,115,1290,116,777,921,1321,916
6.233333333333333,808,115,1291,116,786,922,1311,916
6.266666666666667,808,115,1290,117,796,922,1302,916
6.3,808,115,1290,117,806,922,1292,917
6.333333333333333,808,115,1290,116,815,922,1283,917
6.366666666666666,808,115,1290,116,825,922,1273,917
6.4,808,115,1290,116,835,921,1264,916
6.433333333333334,808,115,1290,116,844,921,1255,916
6.466666666666667,807,115,1290,116,854,920,1246,916
6.5,808,115,1290,116,863,920,1238,915
6.533333333333333,808,115,1290,116,871,919,1230,915
6.566666666666666,808,115,1290,116,879,919,1223,914
6.6,808,115,1290,116,886,918,1217,914
6.633333333333334,808,115,1290,116,893,917,1211,913
6.666666666666667,808,115,1290,116,899,916,1205,913
6.7,808,115,1290,116,905,916,1201,912
6.733333333333333,808,115,1290,116,909,915,1198,912
6.766666666666667,808,115,1290,116,913,915,1195,911
6.8,808,115,1290,116,916,914,1193,911
6.833333333333333,808,115,1290,116,918,914,1191,911
6.866666666666666,808,115,1290,116,919,914,1191,911
6.9,808,115,1290,116,920,914,1192,911
6.933333333333334,808,115,1290,116,919,914,1193,911
6.966666666666667,808,115,1290,116,918,914,1196,912
7.0,808,115,1290,116,916,915,1199,912
7.033333333333333,808,115,1290,116,913,915,1203,912
7.066666666666666,808,115,1290,116,909,915,1208,913
7.1,808,115,1290,116,904,916,1213,913
7.133333333333334,808,115,1290,117,898,917,1220,914
7.166666666666667,808,115,1290,116,892,917,1226,914
7.2,808,115,1290,116,885,918,1234,915
7.233333333333333,808,115,1290,116,878,919,1242,915
7.266666666666667,808,115,1290,116,870,919,1250,916
7.3,808,115,1290,116,861,920,1259,916
7.333333333333333,808,115,1290,116,853,921,1268,916
7.366666666666666,808,115,1290,116,843,921,1277,917
7.4,808,115,1290,116,834,921,1287,917
7.433333333333334,808,115,1290,116,824,922,1297,917
7.466666666666667,808,115,1290,116,815,922,1306,917
7.5,808,115,1290,117,805,922,1316,916
7.533333333333333,808,115,1290,117,795,922,1325,916
7.566666666666666,808,115,1290,116,786,922,1334,915
7.6,808,115,1290,117,776,921,1343,915
7.633333333333334,808,115,1290,117,767,921,1351,914
7.666666666666667,808,115,1290,117,759,921,1359,913
7.7,808,115,1290,117,751,920,1366,913
7.733333333333333,808,115,1291,116,743,919,1373,912
7.766666666666667,808,115,1290,117,736,919,1379,911
7.8,808,115,1290,117,730,919,1385,910
7.833333333333333,808,115,1290,116,724,918,1389,910
7.866666666666666,808,115,1290,117,720,917,1393,909
7.9,808,115,1290,117,716,917,1396,909
7.933333333333334,808,115,1290,117,712,916,1398,909
7.966666666666667,808,115,1290,117,710,916,1399,909
8.0,808,115,1290,116,708,916,1400,908
8.033333333333333,808,115,1290,117,707,916,1400,908
8.066666666666666,808,115,1290,117,708,916,1398,908
8.1,808,115,1290,116,710,916,1396,909
8.133333333333333,808,115,1290,117,711,916,1393,909
8.166666666666666,808,115,1290,117,714,917,1389,910
8.2,808,115,1290,117,718,917,1385,910
8.233333333333333,808,115,1290,117,723,918,1379,911
8.266666666666667,808,115,1290,117,728,918,1373,912
8.3,808,115,1290,117,734,919,1366,912
8.333333333333334,808,115,1290,117,741,919,1359,913
8.366666666666667,808,115,1290,117,748,920,1351,914
8.4,808,115,1290,117,756,920,1343,915
8.433333333333334,808,115,1290,116,764,921,1334,915
8.466666666666667,808,115,1290,116,773,921,1325,916
8.5,808,115,1290,117,783,922,1316,916
8.533333333333333,808,115,1290,116,792,922,1306,916
8.566666666666666,808,115,1290,116,802,922,1297,917
8.6,808,115,1290,117,812,922,1287,917
8.633333333333333,808,115,1290,116,821,922,1278,917
8.666666666666666,808,115,1290,117,831,921,1268,917
8.7,808,115,1290,116,840,921,1259,916
8.733333333333333,808,115,1290,116,850,921,1250,916
8.766666666666667,808,115,1290,116,858,920,1242,916
8.8,808,115,1290,116,867,920,1234,915
8.833333333333334,808,115,1290,116,875,919,1227,914
8.866666666666667,808,115,1290,116,883,918,1220,914
8.9,808,115,1290,116,890,917,1213,913
8.933333333333334,808,115,1290,116,896,917,1208,913
8.966666666666667,808,115,1290,116,902,916,1203,913
9.0,808,115,1290,116,907,916,1199,912
9.033333333333333,809,116,1290,116,911,915,1196,912
9.066666666666666,808,115,1290,116,914,914,1194,911
9.1,808,115,1290,116,917,914,1192,911
9.133333333333333,808,115,1290,116,918,914,1191,911
9.166666666666666,808,115,1290,116,919,914,1191,911
9.2,808,115,1291,116,919,914,1193,911
9.233333333333333,808,115,1291,116,918,914,1195,911
9.266666666666667,808,115,1290,117,916,914,1197,912
9.3,808,115,1290,116,914,915,1201,912
9.333333333333334,808,115,1290,116,910,915,1206,913
9.366666666666667,808,115,1290,117,906,916,1211,913
9.4,808,115,1290,116,901,916,1217,914
9.433333333333334,808,115,1290,116,894,917,1223,914
9.466666666666667,808,115,1290,117,888,918,1231,915
9.5,808,115,1290,116,881,918,1238,915
9.533333333333333,808,115,1290,116,873,919,1246,916
9.566666666666666,808,115,1290,116,865,920,1255,916
9.6,808,115,1290,116,856,920,1264,916
9.633333333333333,808,115,1290,116,847,921,1273,917
9.666666666666666,808,115,1290,116,837,921,1282,917
9.7,808,115,1290,116,828,922,1292,917
9.733333333333333,808,115,1290,117,818,922,1302,916
9.766666666666667,808,115,1290,116,809,922,1311,916
9.8,808,115,1290,117,799,922,1321,916
9.833333333333334,808,115,1291,116,789,922,1330,916
9.866666666666667,808,115,1290,116,780,921,1339,915
9.9,808,115,1290,117,772,921,1347,914
9.933333333333334,808,115,1290,117,763,921,1355,914
9.966666666666667,808,115,1290,116,755,920,1363,913
10.0,807,115,1290,117,746,920,1370,912
10.033333333333333,808,115,1290,116,739,919,1376,911
10.066666666666666,808,115,1290,116,733,919,1382,911
10.1,808,115,1290,117,727,918,1387,910
10.133333333333333,808,115,1290,116,722,918,1391,910
10.166666666666666,808,115,1290,117,718,917,1395,909
10.2,808,115,1290,117,714,917,1397,909
10.233333333333333,808,115,1290,116,711,916,1399,908
10.266666666666667,808,115,1290,116,710,916,1400,909
10.3,808,115,1290,116,708,916,1400,908
10.333333333333334,808,115,1290,116,708,916,1399,909
10.366666666666667,808,115,1290,116,709,916,1397,909
10.4,808,115,1290,116,711,916,1395,909
10.433333333333334,808,115,1290,116,713,917,1391,910
10.466666666666667,808,115,1290,116,717,917,1387,910
10.5,808,115,1290,116,721,917,1382,911
10.533333333333333,808,115,1290,117,726,918,1376,912
10.566666666666666,808,115,1290,116,732,919,1370,912
10.6,808,115,1290,116,739,919,1363,913
10.633333333333333,808,115,1290,117,745,920,1355,914
10.666666666666666,808,115,1290,117,754,920,1347,914
10.7,808,115,1290,117,761,921,1338,915
10.733333333333333,808,115,1290,117,770,921,1329,916
10.766666666666667,808,115,1290,117,779,921,1320,916
10.8,808,115,1290,117,788,922,1311,916
10.833333333333334,808,115,1290,116,797,922,1301,917
10.866666666666667,808,115,1290,117,807,922,1292,917
10.9,808,115,1290,117,817,922,1282,917
10.933333333333334,808,115,1290,116,827,922,1273,917
10.966666666666667,808,115,1290,117,836,921,1264,916
11.0,808,115,1290,116,846,921,1255,916
11.033333333333333,808,115,1290,116,855,920,1246,916
11.066666666666666,808,115,1290,116,863,920,1238,915
11.1,808,115,1290,116,872,919,1230,915
11.133333333333333,808,115,1290,116,879,918,1223,914
11.166666666666666,808,115,1290,116,887,918,1216,914
11.2,808,115,1290,116,894,917,1211,913
11.233333333333333,808,115,1290,116,899,916,1206,913
11.266666666666667,808,115,1290,116,904,916,1201,912
11.3,808,115,1290,116,909,915,1197,912
11.333333333333334,808,115,1290,116,913,915,1195,911
11.366666666666667,808,115,1290,116,915,914,1193,911
11.4,808,115,1290,116,918,914,1192,911
11.433333333333334,808,115,1290,116,919,914,1192,911
11.466666666666667,808,115,1290,116,919,914,1192,911
11.5,808,115,1290,116,918,914,1193,911
11.533333333333333,808,115,1290,116,917,914,1196,912
11.566666666666666,808,115,1290,116,914,914,1199,912
11.6,808,115,1290,116,911,915,1203,912
11.633333333333333,808,115,1290,116,907,915,1208,913
11.666666666666666,808,115,1290,116,902,916,1214,913
11.7,808,115,1290,116,897,917,1220,914
11.733333333333333,808,115,1290,116,890,918,1227,914
11.766666666666667,808,115,1290,116,884,918,1234,915
11.8,808,115,1290,116,876,919,1242,916
11.833333333333334,808,115,1290,116,868,919,1251,916
11.866666666666667,808,115,1290,116,860,920,1259,916
11.9,808,115,1290,116,851,921,1268,917
11.933333333333334,808,115,1290,116,841,921,1278,917
11.966666666666667,808,115,1290,116,832,921,1287,917
12.0,808,115,1290,116,823,922,1297,917
12.033333333333333,808,115,1290,116,813,922,1307,916
12.066666666666666,808,115,1290,117,803,922,1316,916
12.1,808,115,1290,117,794,922,1325,916
12.133333333333333,808,115,1290,117,784,921,1334,915
12.166666666666666,808,115,1290,117,775,921,1343,915
12.2,808,115,1290,117,766,921,1351,914
12.233333333333333,808,115,1290,117,758,921,1359,913
12.266666666666667,808,115,1290,116,750,920,1366,913
12.3,808,115,1290,117,743,919,1373,912
12.333333333333334,808,115,1290,117,736,919,1379,911
12.366666666666667,808,115,1290,116,730,918,1384,911
12.4,808,115,1290,117,724,918,1389,910
12.433333333333334,808,115,1290,117,720,917,1393,909
12.466666666666667,808,115,1290,116,715,917,1396,909
12.5,808,115,1290,117,712,917,1398,908
12.533333333333333,808,115,1290,116,710,916,1399,909
12.566666666666666,808,115,1290,117,709,916,1400,908
12.6,808,115,1290,117,708,916,1399,909
12.633333333333333,808,115,1290,116,709,916,1398,909
12.666666666666666,808,115,1290,117,710,916,1396,909
12.7,808,115,1290,117,713,917,1393,909
12.733333333333333,808,115,1290,117,716,917,1389,910
12.766666666666667,808,115,1290,117,720,918,1384,911
12.8,808,115,1290,116,724,918,1379,911
12.833333333333334,808,115,1290,117,730,919,1373,912
12.866666666666667,808,115,1290,117,736,919,1366,913
12.9,808,115,1290,116,743,920,1358,913
12.933333333333334,808,115,1290,117,750,920,1351,914
12.966666666666667,808,115,1290,117,758,920,1342,914
13.0,808,115,1290,117,766,921,1334,915
13.033333333333333,808,115,1290,117,775,922,1325,916
13.066666666666666,808,115,1290,117,784,922,1316,916
13.1,808,115,1290,117,794,922,1306,916
13.133333333333333,808,115,1290,117,804,922,1297,917
13.166666666666666,808,115,1290,117,813,922,1287,917
13.2,808,115,1290,117,823,922,1277,917
13.233333333333333,808,115,1290,116,832,921,1268,916
13.266666666666667,808,115,1290,116,841,921,1259,916
13.3,808,115,1290,116,851,921,1250,916
13.333333333333334,808,115,1290,116,860,920,1242,916
13.366666666666667,808,115,1290,116,868,919,1234,915
13.4,808,115,1290,116,876,919,1226,914
13.433333333333334,808,115,1290,116,883,918,1220,914
13.466666666666667,808,115,1290,116,890,917,1213,914
13.5,808,115,1290,116,896,917,1208,913
13.533333333333333,808,115,1290,116,902,916,1203,913
13.566666666666666,808,115,1290,116,907,915,1199,912
13.6,808,115,1290,116,911,915,1196,911
13.633333333333333,808,115,1290,116,914,915,1194,911
13.666666666666666,808,115,1290,116,917,914,1192,911
13.7,808,115,1290,116,918,914,1191,911
13.733333333333333,808,115,1290,116,919,914,1192,911
13.766666666666667,808,115,1290,116,918,914,1193,911
13.8,808,115,1290,116,917,914,1195,911
13.833333333333334,808,115,1290,116,915,914,1198,912
13.866666666666667,808,115,1290,116,912,915,1202,912
13.9,808,115,1290,116,909,915,1206,913
13.933333333333334,808,115,1290,116,904,916,1211,913
13.966666666666667,808,115,1290,116,899,917,1217,914
14.0,808,115,1290,116,893,917,1224,914
14.033333333333333,810,116,1290,116,886,918,1231,915
14.066666666666666,808,115,1290,116,879,919,1239,915
14.1,808,115,1290,116,871,919,1247,916
14.133333333333333,807,115,1290,116,863,920,1255,916
14.166666666666666,808,115,1290,116,854,921,1264,916
14.2,808,115,1290,116,846,921,1273,917
14.233333333333333,807,115,1290,116,836,921,1283,917
14.266666666666667,807,115,1290,116,826,922,1292,917
14.3,807,115,1290,116,817,922,1302,917
14.333333333333334,807,115,1290,116,807,922,1312,916
14.366666666666667,808,115,1290,116,798,922,1321,916
14.4,808,115,1290,117,789,922,1330,916
14.433333333333334,808,115,1290,117,779,922,1339,915
14.466666666666667,808,115,1290,117,770,921,1347,914
14.5,807,115,1290,117,761,921,1355,914
14.533333333333333,808,115,1290,117,754,920,1363,913
14.566666666666666,807,115,1290,117,746,920,1370,912
14.6,807,115,1290,117,738,919,1376,911
14.633333333333333,807,115,1290,117,732,919,1382,911
14.666666666666666,807,115,1290,117,727,918,1387,910
14.7,807,115,1290,117,722,918,1391,910
14.733333333333333,808,115,1290,117,718,917,1395,909
14.766666666666667,807,115,1291,117,714,917,1397,909
14.8,807,115,1291,117,712,916,1399,908
14.833333333333334,807,115,1290,117,710,916,1399,909
14.866666666666667,807,115,1290,116,709,916,1399,908
14.9,808,115,1290,117,709,916,1398,909
14.933333333333334,807,115,1290,117,710,916,1397,909
14.966666666666667,808,115,1290,116,712,916,1394,909
15.0,808,115,1290,117,715,917,1391,910
15.033333333333333,808,115,1290,117,719,917,1386,910
15.066666666666666,808,115,1290,117,723,918,1381,911
15.1,808,115,1290,117,728,918,1376,911
15.133333333333333,808,115,1290,117,733,919,1369,912
15.166666666666666,808,115,1290,117,741,919,1362,913
15.2,808,115,1290,117,747,920,1354,914
15.233333333333333,808,115,1290,117,756,920,1347,914
15.266666666666667,808,115,1290,117,764,921,1338,915
15.3,808,115,1290,116,772,921,1329,916
15.333333333333334,808,115,1290,117,781,922,1320,916
15.366666666666667,808,115,1290,117,790,922,1311,916
15.4,808,115,1290,117,800,922,1301,917
15.433333333333334,808,115,1290,117,809,922,1291,917
15.466666666666667,808,115,1290,117,819,922,1282,917
15.5,808,115,1290,117,828,922,1272,917
15.533333333333333,808,115,1290,117,838,921,1264,916
15.566666666666666,808,115,1290,116,847,921,1254,916
15.6,808,115,1290,117,856,920,1246,916
15.633333333333333,808,115,1290,116,865,920,1238,915
15.666666666666666,808,115,1290,116,872,919,1230,915
15.7,808,115,1290,117,880,918,1223,914
15.733333333333333,808,115,1290,116,887,918,1216,913
15.766666666666667,808,115,1290,116,894,917,1210,913
15.8,808,115,1290,116,900,916,1205,913
15.833333333333334,807,115,1290,116,904,916,1201,912
15.866666666666667,808,115,1290,117,909,915,1197,912
15.9,808,115,1290,116,912,915,1195,911
15.933333333333334,808,115,1290,116,915,914,1193,911
15.966666666666667,808,115,1290,116,917,914,1191,911
16.0,808,115,1290,117,918,914,1191,911
16.033333333333335,807,115,1290,116,918,914,1192,911
16.066666666666666,808,115,1290,117,917,914,1194,911
16.1,808,115,1290,117,916,914,1196,912
16.133333333333333,808,115,1290,117,913,915,1200,912
16.166666666666668,808,115,1290,117,910,915,1203,913
16.2,808,115,1290,117,906,916,1208,913
16.233333333333334,808,115,1290,117,901,916,1214,914
16.266666666666666,808,115,1290,117,895,917,1220,914
16.3,808,115,1290,116,889,917,1227,914
16.333333333333332,807,115,1290,117,882,918,1235,915
16.366666666666667,808,115,1290,117,874,919,1242,916
16.4,807,115,1290,117,866,920,1251,916
16.433333333333334,808,115,1290,117,858,920,1260,916
16.466666666666665,808,115,1290,117,849,921,1269,916
16.5,807,115,1290,117,839,921,1278,917
