t,pivotLx,pivotLy,pivotRx,pivotRy,bobx,boby
0.0,683,72,1184,74,1139,908
0.016666666666666666,684,72,1184,74,1141,908
0.03333333333333333,685,72,1186,74,1145,908
0.05,684,72,1185,74,1149,909
0.06666666666666667,683,72,1183,73,1153,909
0.08333333333333333,685,72,1185,74,1157,910
0.1,683,72,1183,73,1162,909
0.11666666666666667,683,72,1183,74,1168,910
0.13333333333333333,683,72,1184,74,1173,910
0.15,683,72,1183,73,1177,910
0.16666666666666666,684,72,1184,74,1183,910
0.18333333333333332,683,72,1184,74,1189,910
0.2,683,72,1183,74,1194,910
0.21666666666666667,684,72,1184,74,1200,910
0.23333333333333334,683,72,1183,74,1205,910
0.25,683,73,1183,74,1211,910
0.26666666666666666,683,73,1183,74,1215,910
0.2833333333333333,683,73,1183,74,1220,909
0.3,683,73,1183,74,1225,909
0.31666666666666665,683,73,1183,74,1228,909
0.3333333333333333,683,73,1183,74,1233,909
0.35,683,73,1183,74,1236,909
0.36666666666666664,683,73,1183,74,1239,909
0.38333333333333336,683,73,1183,74,1242,909
0.4,683,73,1183,74,1244,909
0.4166666666666667,682,73,1183,74,1246,908
0.43333333333333335,683,73,1183,74,1247,908
0.45,683,73,1183,74,1247,908
0.4666666666666667,682,74,1182,74,1248,909
0.48333333333333334,683,74,1183,74,1248,908
0.5,681,74,1182,75,1247,908
0.5166666666666667,682,74,1182,74,1246,908
0.5333333333333333,682,74,1183,76,1244,909
0.55,681,74,1181,75,1242,909
0.5666666666666667,682,74,1182,75,1240,909
0.5833333333333334,681,74,1182,76,1236,910
0.6,681,74,1181,76,1233,910
0.6166666666666667,681,74,1181,75,1229,910
0.6333333333333333,681,74,1181,75,1224,910
0.65,681,74,1181,75,1220,911
0.6666666666666666,682,74,1181,76,1215,911
0.6833333333333333,681,74,1181,76,1210,911
0.7,681,74,1181,75,1205,911
0.7166666666666667,681,74,1181,76,1199,911
0.7333333333333333,681,74,1181,76,1194,911
0.75,681,74,1181,75,1189,912
0.7666666666666667,681,74,1181,76,1182,911
0.7833333333333333,681,74,1181,76,1177,911
0.8,681,74,1181,76,1171,911
0.8166666666666667,681,74,1181,76,1167,911
0.8333333333333334,681,74,1181,76,1161,911
0.85,681,74,1181,76,1155,911
0.8666666666666667,681,74,1181,76,1151,911
0.8833333333333333,681,74,1181,76,1147,911
0.9,681,74,1180,76,1142,911
0.9166666666666666,681,74,1181,76,1139,911
0.9333333333333333,681,74,1181,76,1135,911
0.95,680,74,1179,76,1133,911
0.9666666666666667,681,74,1180,76,1131,911
0.9833333333333333,680,75,1179,76,1127,911
1.0,680,74,1179,76,1127,911
1.0166666666666666,681,75,1180,76,1125,911
1.0333333333333334,679,75,1179,76,1125,911
1.05,680,75,1179,76,1125,911
1.0666666666666667,680,75,1179,76,1125,911
1.0833333333333333,679,75,1179,76,1127,911
1.1,679,75,1179,76,1127,911
1.1166666666666667,679,75,1179,76,1129,911
1.1333333333333333,679,75,1179,76,1132,911
1.15,679,75,1179,76,1135,911
1.1666666666666667,679,75,1178,76,1138,911
1.1833333333333333,679,75,1179,76,1142,912
1.2,679,75,1179,76,1145,912
1.2166666666666666,679,75,1179,76,1150,912
1.2333333333333334,679,75,1179,76,1155,913
1.25,679,75,1178,76,1159,913
1.2666666666666666,679,75,1179,76,1165,913
1.2833333333333334,679,76,1179,77,1170,913
1.3,679,76,1178,77,1175,913
1.3166666666666667,679,76,1179,77,1181,913
1.3333333333333333,679,76,1179,77,1186,913
1.35,679,76,1178,77,1192,913
1.3666666666666667,679,76,1179,77,1197,913
1.3833333333333333,679,76,1178,77,1202,913
1.4,679,76,1178,77,1208,913
1.4166666666666667,679,76,1179,77,1212,912
1.4333333333333333,679,76,1177,77,1217,912
1.45,679,76,1178,77,1222,912
1.4666666666666666,679,76,1178,77,1226,911
1.4833333333333334,679,76,1178,77,1230,911
1.5,679,76,1178,77,1233,911
1.5166666666666666,678,76,1177,77,1236,911
1.5333333333333334,679,76,1178,77,1238,911
1.55,679,76,1178,77,1240,911
1.5666666666666667,678,76,1177,77,1242,911
1.5833333333333333,679,76,1177,77,1243,911
1.6,679,76,1177,77,1243,911
1.6166666666666667,678,76,1177,77,1244,911
1.6333333333333333,679,76,1177,77,1244,911
1.65,678,76,1177,77,1242,911
1.6666666666666667,679,76,1177,78,1242,911
1.6833333333333333,678,76,1177,78,1239,911
1.7,677,76,1177,77,1237,911
1.7166666666666666,679,76,1177,77,1234,911
1.7333333333333334,677,76,1177,77,1230,912
1.75,677,76,1177,77,1227,912
1.7666666666666666,678,76,1177,78,1223,912
1.7833333333333334,677,76,1177,77,1218,913
1.8,678,76,1177,78,1214,913
1.8166666666666667,677,76,1177,77,1209,913
1.8333333333333333,677,76,1177,77,1204,913
1.85,677,76,1177,78,1199,913
1.8666666666666667,677,76,1177,78,1193,913
1.8833333333333333,677,76,1177,78,1188,913
1.9,677,76,1177,78,1182,913
1.9166666666666667,677,76,1177,78,1176,913
1.9333333333333333,677,76,1177,78,1171,914
1.95,677,76,1177,78,1165,914
1.9666666666666666,677,76,1177,78,1160,913
1.9833333333333334,677,76,1177,78,1155,913
2.0,677,76,1177,78,1150,913
2.0166666666666666,677,76,1177,78,1145,913
2.033333333333333,677,76,1177,78,1141,913
2.05,677,76,1177,78,1137,913
2.066666666666667,677,76,1177,78,1134,913
2.0833333333333335,677,76,1177,78,1131,913
2.1,677,76,1176,78,1128,913
2.1166666666666667,677,76,1177,78,1127,913
2.1333333333333333,677,76,1177,78,1124,913
2.15,677,76,1176,78,1123,913
2.1666666666666665,677,76,1176,78,1122,913
2.183333333333333,677,76,1176,78,1122,913
2.2,677,76,1176,78,1122,913
2.216666666666667,677,77,1176,78,1123,913
2.2333333333333334,677,76,1175,78,1124,913
2.25,677,77,1176,78,1126,913
2.2666666666666666,677,77,1176,78,1127,913
2.283333333333333,677,77,1175,78,1131,913
2.3,677,77,1176,78,1133,913
2.316666666666667,677,77,1175,78,1137,913
2.3333333333333335,677,77,1175,78,1141,914
2.35,677,77,1176,78,1145,914
2.3666666666666667,675,77,1175,78,1149,914
2.3833333333333333,677,77,1176,78,1155,914
2.4,677,77,1176,78,1159,914
2.4166666666666665,677,77,1175,78,1165,915
2.433333333333333,677,77,1176,78,1170,915
2.45,677,77,1175,78,1175,914
2.466666666666667,677,77,1176,78,1181,915
2.4833333333333334,677,77,1176,78,1186,915
2.5,676,77,1175,78,1192,915
2.5166666666666666,677,77,1176,78,1197,914
2.533333333333333,677,77,1175,78,1202,914
2.55,676,77,1175,78,1208,914
2.566666666666667,677,77,1176,78,1213,914
2.5833333333333335,676,77,1175,78,1217,913
2.6,676,77,1175,78,1222,913
2.6166666666666667,677,77,1175,78,1225,913
2.6333333333333333,675,77,1175,78,1229,913
2.65,676,77,1175,78,1232,913
2.6666666666666665,675,77,1175,78,1235,913
2.683333333333333,675,77,1175,78,1237,912
2.7,677,78,1175,78,1239,912
2.716666666666667,675,77,1175,78,1240,912
2.7333333333333334,675,77,1175,78,1242,912
2.75,675,78,1175,78,1242,912
2.7666666666666666,675,78,1175,78,1242,912
2.783333333333333,675,78,1175,78,1241,912
2.8,675,78,1175,78,1240,912
2.816666666666667,675,78,1175,78,1238,912
2.8333333333333335,675,78,1175,78,1236,913
2.85,675,78,1175,78,1233,913
2.8666666666666667,675,78,1175,78,1231,913
2.8833333333333333,675,78,1175,79,1227,913
2.9,675,78,1175,79,1223,913
2.9166666666666665,675,78,1175,79,1220,914
2.933333333333333,675,78,1175,79,1214,914
2.95,675,78,1175,79,1210,914
2.966666666666667,675,78,1175,79,1205,915
2.9833333333333334,675,78,1175,79,1199,915
3.0,675,78,1175,79,1194,915
3.0166666666666666,675,78,1175,79,1189,915
3.033333333333333,675,78,1175,79,1183,915
3.05,675,78,1175,79,1178,915
3.066666666666667,675,78,1175,79,1172,915
3.0833333333333335,675,78,1175,79,1167,915
3.1,675,78,1175,79,1161,915
3.1166666666666667,675,78,1175,79,1157,915
3.1333333333333333,675,78,1175,79,1151,915
3.15,675,78,1175,79,1147,915
3.1666666666666665,675,78,1175,79,1142,915
3.183333333333333,675,78,1175,79,1138,915
3.2,675,78,1175,79,1135,915
3.216666666666667,675,78,1175,79,1131,915
3.2333333333333334,675,78,1175,79,1128,914
3.25,675,78,1175,79,1125,914
3.2666666666666666,675,78,1175,79,1123,913
3.283333333333333,675,78,1175,79,1121,913
3.3,675,78,1175,79,1121,913
3.316666666666667,675,78,1175,79,1120,913
3.3333333333333335,675,78,1175,79,1120,913
3.35,675,78,1175,79,1121,913
3.3666666666666667,675,78,1175,79,1121,913
3.3833333333333333,675,78,1175,79,1123,914
3.4,675,78,1175,79,1125,914
3.4166666666666665,675,78,1175,79,1127,915
3.433333333333333,675,78,1175,79,1131,915
3.45,675,78,1175,79,1134,915
3.466666666666667,675,78,1175,79,1137,915
3.4833333333333334,675,78,1175,79,1141,915
3.5,675,78,1175,79,1145,915
3.5166666666666666,675,78,1175,80,1151,915
3.533333333333333,675,78,1175,79,1155,915
3.55,675,78,1174,79,1160,915
3.566666666666667,675,78,1175,80,1166,915
3.5833333333333335,675,78,1175,80,1171,915
3.6,675,78,1175,79,1177,915
3.6166666666666667,675,78,1175,80,1182,915
3.6333333333333333,675,78,1175,80,1188,915
3.65,675,78,1175,80,1193,915
3.6666666666666665,675,78,1175,80,1199,915
3.683333333333333,675,78,1175,79,1203,915
3.7,675,78,1174,79,1209,915
3.716666666666667,675,78,1175,79,1213,914
3.7333333333333334,675,78,1175,79,1218,914
3.75,675,78,1175,79,1222,914
3.7666666666666666,675,78,1175,79,1226,913
3.783333333333333,675,78,1175,79,1230,913
3.8,675,78,1175,79,1233,913
3.816666666666667,675,78,1175,79,1236,913
3.8333333333333335,675,78,1175,79,1238,913
3.85,677,78,1176,79,1240,913
3.8666666666666667,677,78,1176,78,1241,912
3.8833333333333333,677,78,1176,78,1242,912
3.9,677,78,1176,78,1242,912
3.9166666666666665,677,78,1177,78,1242,912
3.933333333333333,677,78,1177,78,1242,912
3.95,677,78,1177,78,1240,912
3.966666666666667,677,78,1177,78,1239,912
3.9833333333333334,677,78,1177,78,1237,913
4.0,678,77,1177,78,1234,913
4.016666666666667,679,77,1177,78,1232,913
4.033333333333333,679,77,1178,78,1228,913
4.05,679,77,1178,78,1224,913
4.066666666666666,679,77,1178,78,1220,913
4.083333333333333,679,77,1178,78,1215,914
4.1,679,77,1178,78,1211,914
4.116666666666666,679,77,1179,78,1206,914
4.133333333333334,679,77,1179,78,1201,914
4.15,679,77,1179,78,1195,914
4.166666666666667,679,77,1179,78,1190,914
4.183333333333334,679,76,1179,78,1185,915
4.2,679,76,1179,78,1179,914
4.216666666666667,679,76,1179,78,1173,914
4.233333333333333,680,77,1179,78,1169,914
4.25,681,76,1179,78,1163,914
4.266666666666667,680,76,1179,78,1159,914
4.283333333333333,681,76,1179,78,1153,914
4.3,681,76,1179,78,1149,913
4.316666666666666,681,76,1179,78,1145,913
4.333333333333333,681,76,1180,78,1141,913
4.35,681,76,1180,78,1137,913
4.366666666666666,681,76,1180,78,1135,913
4.383333333333334,681,76,1181,78,1131,913
4.4,681,76,1180,78,1129,913
4.416666666666667,681,76,1180,78,1128,913
4.433333333333334,681,76,1181,78,1127,913
4.45,681,76,1180,78,1126,912
4.466666666666667,681,76,1181,78,1125,913
4.483333333333333,681,76,1180,78,1125,913
4.5,681,76,1181,78,1127,913
4.516666666666667,681,76,1180,78,1127,913
4.533333333333333,681,76,1180,78,1129,913
4.55,681,76,1181,78,1131,913
4.566666666666666,681,76,1180,78,1135,913
4.583333333333333,681,76,1180,78,1137,913
4.6,681,76,1181,78,1141,913
4.616666666666666,681,76,1180,78,1145,913
4.633333333333334,681,76,1180,78,1149,913
4.65,681,76,1181,78,1153,913
4.666666666666667,681,76,1181,78,1159,913
4.683333333333334,681,76,1181,78,1163,913
4.7,681,76,1181,78,1169,914
4.716666666666667,681,76,1181,78,1174,913
4.733333333333333,681,76,1181,78,1179,914
4.75,681,76,1181,78,1185,914
4.766666666666667,681,76,1181,78,1191,914
4.783333333333333,681,76,1181,78,1196,913
4.8,681,76,1181,78,1201,913
4.816666666666666,681,76,1181,78,1207,913
4.833333333333333,681,76,1181,78,1212,913
4.85,681,76,1181,78,1217,913
4.866666666666666,681,76,1181,78,1221,913
4.883333333333334,681,76,1181,78,1226,913
4.9,681,76,1181,78,1230,912
4.916666666666667,681,76,1181,78,1233,912
4.933333333333334,681,76,1181,78,1237,912
4.95,681,76,1181,78,1240,911
4.966666666666667,681,76,1181,78,1242,912
4.983333333333333,681,76,1181,78,1244,911
5.0,681,76,1181,78,1245,911
5.016666666666667,681,76,1181,78,1246,911
5.033333333333333,681,76,1181,78,1246,911
5.05,681,76,1181,78,1246,911
5.066666666666666,681,76,1181,78,1246,911
5.083333333333333,681,76,1181,78,1244,911
5.1,681,76,1181,78,1243,911
5.116666666666666,681,76,1181,78,1241,911
5.133333333333334,681,76,1181,78,1239,912
5.15,681,76,1181,78,1236,912
5.166666666666667,681,76,1181,78,1232,912
5.183333333333334,681,76,1181,78,1229,913
5.2,681,76,1181,78,1224,913
5.216666666666667,681,76,1181,78,1220,913
5.233333333333333,681,76,1181,78,1215,913
5.25,681,76,1181,78,1211,913
5.266666666666667,681,76,1181,78,1205,913
5.283333333333333,681,76,1181,78,1200,913
5.3,681,76,1181,78,1195,913
5.316666666666666,681,76,1181,78,1189,913
5.333333333333333,681,76,1181,78,1183,913
5.35,681,76,1181,78,1178,913
5.366666666666666,681,76,1181,78,1172,914
5.383333333333334,681,76,1181,78,1167,914
5.4,681,76,1181,78,1161,913
5.416666666666667,681,76,1181,78,1157,913
5.433333333333334,681,76,1181,78,1152,913
5.45,681,76,1181,78,1147,913
5.466666666666667,681,76,1181,78,1143,913
5.483333333333333,681,76,1181,78,1140,913
5.5,681,76,1181,78,1137,913
5.516666666666667,681,76,1181,78,1133,913
5.533333333333333,681,76,1181,78,1131,913
5.55,681,76,1181,78,1129,913
5.566666666666666,681,76,1181,78,1127,912
5.583333333333333,681,76,1181,78,1127,912
5.6,681,76,1181,78,1127,912
5.616666666666666,681,76,1181,78,1126,912
5.633333333333334,681,76,1181,78,1127,912
5.65,681,76,1181,78,1127,912
5.666666666666667,681,76,1181,78,1129,913
5.683333333333334,681,76,1181,78,1131,913
5.7,681,76,1181,78,1133,913
5.716666666666667,681,76,1181,78,1136,913
5.733333333333333,681,76,1181,78,1139,913
5.75,681,76,1181,78,1143,913
5.766666666666667,681,76,1181,78,1147,913
5.783333333333333,681,76,1181,78,1151,913
5.8,681,76,1181,78,1156,913
5.816666666666666,681,76,1181,78,1161,913
5.833333333333333,681,76,1181,78,1166,913
5.85,681,76,1181,78,1171,913
5.866666666666666,681,76,1181,78,1177,914
5.883333333333334,681,76,1181,78,1182,914
5.9,681,76,1181,78,1188,914
5.916666666666667,681,76,1181,78,1193,914
5.933333333333334,681,76,1181,78,1199,914
5.95,681,76,1181,78,1204,913
5.966666666666667,681,76,1181,78,1209,913
5.983333333333333,681,76,1181,78,1214,913
6.0,681,76,1181,78,1219,913
6.016666666666667,681,76,1181,78,1223,913
6.033333333333333,681,76,1181,78,1228,913
6.05,681,76,1181,78,1232,912
6.066666666666666,681,76,1181,78,1235,912
6.083333333333333,681,76,1181,78,1238,912
6.1,681,76,1181,78,1241,911
6.116666666666666,681,76,1181,78,1243,911
6.133333333333334,681,76,1181,78,1244,911
6.15,681,76,1181,78,1245,911
6.166666666666667,681,76,1181,78,1246,911
6.183333333333334,681,76,1181,78,1246,911
6.2,681,76,1181,78,1246,911
6.216666666666667,681,76,1181,78,1245,911
6.233333333333333,681,76,1181,78,1244,911
6.25,681,76,1181,78,1242,911
6.266666666666667,681,76,1181,78,1240,911
6.283333333333333,681,76,1181,78,1237,912
6.3,681,76,1181,78,1234,912
6.316666666666666,681,76,1181,78,1231,912
6.333333333333333,681,76,1181,78,1227,912
6.35,681,76,1181,78,1222,913
6.366666666666666,681,76,1181,78,1218,913
6.383333333333334,681,76,1181,78,1213,913
6.4,681,76,1181,78,1208,913
6.416666666666667,681,76,1181,78,1203,913
6.433333333333334,681,76,1181,78,1197,913
6.45,681,76,1181,78,1192,913
6.466666666666667,681,76,1181,78,1187,914
6.483333333333333,681,76,1181,78,1181,914
6.5,681,76,1181,78,1176,913
6.516666666666667,681,76,1181,78,1170,913
6.533333333333333,681,76,1181,78,1165,913
6.55,681,76,1181,78,1159,913
6.566666666666666,681,76,1181,78,1155,913
6.583333333333333,681,76,1181,78,1150,913
6.6,681,76,1181,78,1145,913
6.616666666666666,681,76,1181,78,1142,913
6.633333333333334,681,76,1181,78,1139,913
6.65,681,76,1181,78,1135,913
6.666666666666667,681,76,1181,78,1133,913
6.683333333333334,681,76,1181,78,1130,912
6.7,681,76,1181,78,1129,913
6.716666666666667,681,76,1181,78,1127,913
6.733333333333333,681,76,1181,78,1127,912
6.75,681,76,1181,78,1126,912
6.766666666666667,681,76,1181,78,1127,912
6.783333333333333,681,76,1181,78,1127,912
6.8,681,76,1181,78,1128,912
6.816666666666666,681,76,1181,78,1129,913
6.833333333333333,681,76,1181,78,1132,912
6.85,681,76,1181,78,1135,913
6.866666666666666,681,76,1181,78,1137,913
6.883333333333334,681,76,1181,78,1141,913
6.9,681,76,1181,78,1145,913
6.916666666666667,681,76,1181,78,1149,913
6.933333333333334,681,76,1181,78,1153,913
6.95,681,76,1181,78,1158,913
6.966666666666667,681,76,1181,78,1163,913
6.983333333333333,681,76,1181,78,1169,914
7.0,681,76,1181,78,1174,913
7.016666666666667,681,76,1181,78,1179,914
7.033333333333333,681,76,1181,78,1185,914
7.05,681,76,1181,78,1190,913
7.066666666666666,681,76,1181,78,1196,913
7.083333333333333,681,76,1181,78,1201,913
7.1,681,76,1181,78,1206,913
7.116666666666666,681,76,1181,78,1212,913
7.133333333333334,681,76,1181,78,1216,913
7.15,681,76,1181,78,1221,913
7.166666666666667,681,76,1181,78,1225,913
7.183333333333334,681,76,1181,78,1230,912
7.2,681,76,1181,78,1233,912
7.216666666666667,681,76,1181,78,1236,912
7.233333333333333,681,76,1181,78,1239,911
7.25,681,76,1181,78,1242,911
7.266666666666667,681,76,1181,78,1244,911
7.283333333333333,681,76,1181,78,1245,911
7.3,681,76,1181,78,1246,911
7.316666666666666,681,76,1181,78,1246,911
7.333333333333333,681,76,1181,78,1246,911
7.35,681,76,1181,78,1246,911
7.366666666666666,681,76,1181,78,1244,911
7.383333333333334,681,76,1181,78,1243,912
7.4,681,76,1181,78,1241,911
7.416666666666667,681,76,1181,78,1239,912
7.433333333333334,681,76,1181,78,1236,912
7.45,681,76,1181,78,1232,912
7.466666666666667,681,76,1181,78,1229,912
7.483333333333333,681,76,1181,78,1225,913
7.5,681,76,1181,78,1220,913
7.516666666666667,681,76,1181,78,1215,913
7.533333333333333,681,76,1181,78,1211,913
7.55,681,76,1181,78,1206,913
7.566666666666666,681,76,1181,78,1200,913
7.583333333333333,681,76,1181,78,1195,914
7.6,681,76,1181,78,1189,913
7.616666666666666,681,76,1181,78,1184,913
7.633333333333334,681,76,1181,78,1179,914
7.65,681,76,1181,78,1173,914
7.666666666666667,681,76,1181,78,1167,913
7.683333333333334,681,76,1181,78,1162,913
7.7,681,76,1181,78,1157,913
7.716666666666667,681,76,1181,78,1153,913
7.733333333333333,681,76,1181,78,1148,913
7.75,681,76,1181,78,1144,913
7.766666666666667,681,76,1181,78,1141,913
7.783333333333333,681,76,1181,78,1137,913
7.8,681,76,1181,78,1134,913
7.816666666666666,681,76,1181,78,1131,913
7.833333333333333,681,76,1181,78,1129,913
7.85,681,76,1181,78,1127,913
7.866666666666666,681,76,1181,78,1127,913
7.883333333333334,681,76,1181,78,1127,912
7.9,681,76,1181,78,1126,913
7.916666666666667,681,76,1181,78,1127,912
7.933333333333334,681,76,1181,78,1127,913
7.95,681,76,1181,78,1129,912
7.966666666666667,681,76,1181,78,1131,913
7.983333333333333,681,76,1181,78,1133,913
8.0,681,76,1181,78,1135,913
8.016666666666667,681,76,1181,78,1139,913
